"node","total_degree"
"R-DRE-73864","3"
"R-BTA-9634600","3"
"R-SSC-8849470","3"
"R-MMU-379726","3"
"R-BTA-69613","3"
"R-SCE-391251","3"
"R-DDI-211916","3"
"R-CFA-73942","3"
"MIM:619803","3"
"R-SSC-419408","3"
"R-DRE-2022923","3"
"R-CFA-2404192","3"
"R-BTA-8937144","3"
"R-XTR-9674555","3"
"R-DRE-977443","3"
"R-SPO-73933","3"
"C567306","3"
"R-SSC-2559584","3"
"R-GGA-1236978","3"
"R-SPO-73927","3"
"R-DRE-112313","3"
"R-PFA-888590","3"
"R-CEL-9007892","3"
"R-DME-392023","3"
"R-SPO-168142","3"
"R-SPO-5676934","3"
"R-DRE-113510","3"
"R-DRE-166663","3"
"R-DRE-390466","3"
"R-MMU-113510","3"
"R-SCE-1614517","3"
"R-HSA-69560","3"
"R-BTA-9634815","3"
"R-CEL-1369007","3"
"R-DRE-1855167","3"
"R-CEL-72312","3"
"R-BTA-5357801","3"
"R-BTA-186712","3"
"R-DDI-913709","3"
"R-XTR-2428928","3"
"R-SSC-399956","3"
"R-DME-448424","3"
"R-GGA-9758941","3"
"R-HSA-5619056","3"
"MIM:301059","3"
"R-DRE-8941855","3"
"R-SSC-196783","3"
"R-RNO-176974","3"
"R-GGA-1296059","3"
"R-DDI-8964540","3"
"R-DDI-112316","3"
"R-SCE-5685938","3"
"R-DDI-110312","3"
"R-DRE-3322077","3"
"R-SSC-8854521","3"
"MIM:619985","3"
"R-DRE-190374","3"
"R-SSC-110381","3"
"R-CEL-5620912","3"
"C536901","3"
"R-PFA-8963743","3"
"R-XTR-917937","3"
"C564915","3"
"R-GGA-173599","3"
"R-DRE-71336","3"
"R-XTR-204998","3"
"R-XTR-446193","3"
"R-CEL-9818027","3"
"R-GGA-1483101","3"
"R-BTA-199418","3"
"R-GGA-9013407","3"
"R-HSA-5619053","3"
"R-GGA-69236","3"
"C566196","3"
"R-CFA-168179","3"
"R-MMU-112307","3"
"R-GGA-111995","3"
"R-HSA-5260271","3"
"R-HSA-9646304","3"
"R-DRE-419812","3"
"R-SSC-9755088","3"
"R-BTA-381033","3"
"R-CEL-73864","3"
"R-SSC-69109","3"
"R-PFA-8963691","3"
"R-XTR-69236","3"
"R-CEL-167044","3"
"R-DDI-83936","3"
"R-SSC-9018681","3"
"R-SPO-419408","3"
"R-CFA-69183","3"
"R-SSC-71262","3"
"R-GGA-162658","3"
"R-SSC-3065678","3"
"R-SSC-446193","3"
"R-DDI-442755","3"
"R-DRE-392451","3"
"R-HSA-5619096","3"
"R-GGA-8963896","3"
"R-GGA-72731","3"
"R-PFA-391251","3"
"R-BTA-453276","3"
"R-XTR-6804758","3"
"R-GGA-111463","3"
"R-DME-1483248","3"
"MIM:615135","3"
"R-SCE-5358351","3"
"R-CFA-167044","3"
"R-HSA-9734735","3"
"R-DDI-69610","3"
"R-BTA-912694","3"
"R-XTR-196807","3"
"R-XTR-166786","3"
"R-XTR-114452","3"
"C537834","3"
"R-CEL-9018682","3"
"R-DRE-211979","3"
"R-XTR-9759476","3"
"R-DRE-8849468","3"
"R-BTA-71240","3"
"R-SCE-70921","3"
"R-BTA-156587","3"
"R-SCE-180786","3"
"R-SPO-6807047","3"
"R-CEL-1500931","3"
"R-SCE-73928","3"
"R-BTA-774815","3"
"R-SSC-9708530","3"
"R-DRE-418555","3"
"R-RNO-6803204","3"
"R-SCE-9707564","3"
"R-GGA-5635838","3"
"R-HSA-5579015","3"
"R-DME-1300642","3"
"R-SCE-5696399","3"
"R-SPO-168181","3"
"R-BTA-2855086","3"
"R-DRE-1169092","3"
"R-DRE-9717189","3"
"R-CEL-453274","3"
"R-HSA-3229133","3"
"R-MMU-168188","3"
"R-DRE-198693","3"
"R-SCE-70688","3"
"MIM:155950","3"
"R-SCE-187687","3"
"R-SSC-156842","3"
"R-BTA-9034793","3"
"R-DRE-196783","3"
"R-XTR-418594","3"
"MIM:620462","3"
"R-DME-2022854","3"
"R-DDI-168176","3"
"R-SSC-622327","3"
"R-HSA-5619095","3"
"R-SSC-400042","3"
"R-DME-141334","3"
"R-SSC-187015","3"
"C563365","3"
"R-GGA-9627069","3"
"R-GGA-8963888","3"
"R-GGA-9027604","3"
"R-SSC-399997","3"
"R-SSC-2022928","3"
"R-CEL-75072","3"
"R-CEL-1296059","3"
"R-XTR-1912422","3"
"R-HSA-5579000","3"
"R-SSC-2142816","3"
"R-MMU-69109","3"
"R-SPO-194002","3"
"R-MMU-187015","3"
"R-DDI-8849175","3"
"R-SPO-9730414","3"
"R-SCE-429593","3"
"R-HSA-5619068","3"
"R-BTA-1296059","3"
"R-GGA-451529","3"
"R-CFA-2428928","3"
"R-CEL-442729","3"
"R-SCE-1592230","3"
"R-SCE-9007892","3"
"R-PFA-163685","3"
"R-SSC-190373","3"
"R-CFA-442742","3"
"R-SCE-77346","3"
